Roll_Number,Student_Name,Gender,English,Kannada,Hindi,Maths,Science,Social
3403, S N Prathap Kumar, M,85,74,55,76,80,52
3404, lalitha kumari, F,78,83,83,66,71,70
3405, Ashok Kumar, M,69,81,72,91,83,94
3406, Neha Jagga, F,51,70,76,90,93,84
3407, Aiswarya Mohan, F,66,92,95,71,84,80
3408, Anuj Malhotra, M,83,72,71,99,96,68
3409, Prathiban, M,89,94,78,76,67,90
3410, Bernadtette Rostenkowski, F,53,61,62,100,91,81
3411, Neha S. Swaminathan, F,85,55,52,100,86,55
3412, Neha Mehta, M,100,64,93,87,66,76
3413, S. Devi, F,91,67,90,100,65,73
3414, gopalkumari k s, F,53,98,70,53,67,97
3415, Paul George, M,100,72,66,64,85,93
3416, Bob Joe, M,66,62,90,54,86,57
3417, G Chitra Shenai, F,94,99,89,89,82,73
3418, Deeksha Jiwani, F,83,89,55,63,78,72
3419, Anirudh Mahato, M,60,76,94,93,65,96
3420, Manohar Sharma, M,85,62,82,73,88,84
3421, Ravi Kiran, M,77,89,74,83,87,91
3422, Priya Ram, F,85,69,98,92,62,87
3423, S.P.Swaroop, M,56,68,64,82,66,58
3424, Ankit Saxena, F,71,69,93,86,95,98
3425, Sachin Sharma, M,92,68,71,53,58,62
3426, Ashok Singh, M,50,100,53,96,89,78
3427, Subhash.K.U, M,53,60,87,84,66,100
3428, M.K Sharma, M,71,73,95,81,90,65
3429, Anu Paul, F,79,88,87,94,60,83
3430, Anthony Kumar, M,73,86,53,54,77,92
3431, D.P. Ravi Kiran, M,86,85,99,84,74,52
3432, Aby Abraham K, M,91,84,58,86,67,80
3433, Anand, M,66,92,74,93,63,62
3434, Krishna Hari, M,91,59,61,82,76,88
3435, Ravichandra S, M,99,50,57,79,69,63
3436, vijayakanth T.S.V, M,69,83,87,93,76,77
3437, Dean Winchester, M,53,94,67,93,95,74
3438, Annand Mukund Rao, M,76,60,70,63,51,68
3439, Pallavi Singh, F,83,73,96,88,71,77
3440, Indranil Sarkar, M,52,79,96,79,54,79
3441, vijay kumar t r, M,80,56,57,87,90,56
3442, F A Khan, M,100,91,61,64,73,51
3443, Prabhanjan, M,80,57,60,57,74,95
3444, Siva Kumar, M,73,74,59,62,96,93
3445, Priyanka Y, F,81,98,87,99,67,86
3446, Ravi kishan, M,58,84,95,62,73,51
3447, Suhasini.M, F,76,75,72,53,64,80
3448, Rakesh Kashyap, M,62,53,96,75,97,56
3449, Navneet Dubey, M,78,80,92,72,55,93
3450, Sam Manny, M,73,69,71,91,97,62
3451, Sridhar, M,90,88,66,84,68,93
3452, Kumara Krupa Parvath, M,74,94,67,65,64,83
3453, Hari Krishnan, M,51,70,63,59,95,100
3454, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,82,76,64,99,87,82
3455, Sunil Kumar .K., M,78,67,75,66,59,55
3456, Subhashish Bhattacharjee, M,68,72,62,64,64,74
3457, Swapna.S.P, F,96,63,56,74,55,67
3458, kumar, M,82,74,63,82,66,70
3459, Khasim, M,97,55,61,81,98,58
3460, Shanaya Gurumurthi S, F,91,62,97,69,88,70
3501, Ravi kishan, M,62,90,70,66,57,50
3502, lakshmi gopal, M,56,51,87,76,82,65
3503, Anthony Kumar, M,80,90,76,65,83,81
3504, gopalkumari k s, F,96,86,98,100,72,66
3505, D.P. Ravi Kiran, M,79,97,77,83,57,51
3506, Sunil Kumar .K., M,90,96,50,76,79,94
3507, Ravi Kiran, M,87,64,94,65,71,81
3508, F A Khan, M,86,52,79,59,75,100
3509, Tushar Gupta, M,52,56,79,79,82,52
3510, Priya Ram, F,97,91,68,63,94,96
3511, Swapna.S.P, F,74,83,72,100,93,79
3512, Indranil Sarkar, M,89,90,72,91,82,98
3513, Manohar Sharma, M,73,64,80,68,57,96
3514, Subhashish Bhattacharjee, M,95,98,90,97,73,92
3515, Priyanka Y, F,56,58,61,70,79,99
3516, Sunita rani kumari, F,93,82,73,64,74,79
3517, Gayathri K P, F,63,67,62,53,51,78
3518, Ashok Singh, M,76,71,97,66,89,89
3519, lalitha kumari, F,92,80,91,84,53,57
3520, Deeksha Jiwani, F,55,86,59,70,71,93
3521, Aby Abraham K, M,63,51,64,91,60,65
3522, Siva Kumar, M,69,82,57,58,57,91
3523, Anand, M,52,100,63,65,93,64
3524, Prathiban, M,53,92,52,82,76,63
3525, Anirudh Mahato, M,68,79,53,56,87,71
3526, Suhasini.M, F,85,93,87,92,88,56
3527, Annand Mukund Rao, M,76,79,68,59,87,66
3528, Ashok Kumar, M,93,76,76,71,97,94
3529, Subhash.K.U, M,62,80,62,70,58,56
3530, Krishna Hari, M,63,50,50,98,55,92
3531, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,73,65,61,89,82,52
3532, Neha Mehta, M,85,95,57,72,57,81
3533, Khasim, M,87,78,66,70,69,53
3534, A.B.C Sita, F,67,74,94,97,97,100
3535, Sridhar, M,70,51,79,92,55,87
3536, Akansha Y, F,81,93,59,90,79,50
3537, Sachin Sharma, M,51,52,60,58,71,76
3538, vijayakanth T.S.V, M,90,80,76,76,91,87
3539, M.K Sharma, M,76,54,76,94,85,99
3540, Hari Krishnan, M,84,56,76,60,61,61
3541, Anu Paul, F,95,63,76,64,93,61
3542, Kumara Krupa Parvath, M,83,99,56,85,87,62
3543, Dean Winchester, M,54,71,95,69,57,51
3544, Paul George, M,75,73,75,75,85,99
3545, S.P.Swaroop, M,70,99,75,86,68,65
3546, Neha S. Swaminathan, F,87,95,51,85,70,85
3547, Ankit Saxena, F,74,100,83,91,50,94
3548, Aiswarya Mohan, F,89,52,57,59,67,53
3549, Hari Krishna, M,61,85,67,87,56,57
3550, Bernadtette Rostenkowski, F,68,98,83,98,85,100
3551, vijay kumar t r, M,93,64,50,84,95,66
3552, Shanaya Gurumurthi S, F,83,70,70,57,71,65
3553, S. Devi, F,97,64,83,87,56,76
3554, S N Prathap Kumar, M,59,89,65,89,72,72
3555, Bob Joe, M,62,56,98,91,62,58
3556, Kishan, M,86,76,66,60,78,57
3557, G Chitra Shenai, F,79,57,81,99,78,62
3558, Ravichandra S, M,59,85,92,63,98,56
3559, Neha Jagga, F,65,66,95,57,65,55
3560, Prabhanjan, M,87,93,73,91,65,59
3601, Ravichandra S, M,59,63,80,52,71,68
3602, Priya Ram, F,54,50,83,70,54,98
3603, Swapna.S.P, F,62,62,68,83,93,72
3604, Kumara Krupa Parvath, M,70,61,81,69,73,99
3605, S N Prathap Kumar, M,66,99,72,87,60,100
3606, Ashok Singh, M,88,91,92,95,50,63
3607, D.P. Ravi Kiran, M,92,55,60,83,80,82
3608, Sridhar, M,62,84,72,75,70,67
3609, Sam Manny, M,50,64,73,55,79,87
3610, Indranil Sarkar, M,78,85,50,57,77,69
3611, Neha Mehta, M,65,59,95,69,72,52
3612, Deeksha Jiwani, F,53,58,98,99,65,82
3613, Aby Abraham K, M,82,84,83,94,95,81
3614, gopalkumari k s, F,51,58,57,52,86,65
3615, Rakesh Kashyap, M,65,60,54,78,68,70
3616, Neha S. Swaminathan, F,95,87,77,53,87,90
3617, S.P.Swaroop, M,88,92,81,67,63,92
3618, Krishna Hari, M,83,51,74,64,86,50
3619, Paul George, M,87,100,89,81,71,97
3620, Bernadtette Rostenkowski, F,65,88,66,67,97,70
3621, Priyanka Y, F,79,53,72,51,89,73
3622, Aiswarya Mohan, F,54,74,52,85,74,59
3623, Anuj Malhotra, M,51,99,96,69,99,59
3624, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,64,88,81,97,92,73
3625, S. Devi, F,79,58,61,51,76,88
3626, Sachin Sharma, M,66,58,67,94,55,87
3627, lalitha kumari, F,56,72,82,64,59,54
3628, Ankit Saxena, F,98,71,58,51,86,92
3629, Navneet Dubey, M,75,87,69,79,57,52
3630, Shanaya Gurumurthi S, F,91,79,95,88,84,74
3631, vijayakanth T.S.V, M,70,91,92,97,64,65
3632, Ravi Kiran, M,94,91,90,91,97,87
3633, Prathiban, M,59,69,90,80,81,81
3634, Akansha Y, F,51,64,57,91,74,61
3635, Hari Krishnan, M,90,86,57,63,75,63
3636, A.B.C Sita, F,95,78,71,65,52,73
3637, Neha Jagga, F,60,58,94,97,54,65
3638, vijay kumar t r, M,61,93,100,53,78,89
3639, Suhasini.M, F,79,93,98,63,87,53
3640, Anand, M,92,55,98,100,63,55
3641, Sunita rani kumari, F,55,97,54,80,88,50
3642, Pratap kumar, M,76,91,91,71,65,59
3643, G Chitra Shenai, F,54,65,73,89,60,56
3644, Ravi kishan, M,51,98,96,90,58,95
3645, Pallavi Singh, F,77,89,65,91,67,71
3646, Dean Winchester, M,50,66,51,96,76,92
3647, Siva Kumar, M,58,75,87,93,71,55
3648, F A Khan, M,85,67,54,78,86,86
3649, Subhashish Bhattacharjee, M,71,62,80,67,70,80
3650, kumar, M,69,75,67,58,54,94
3651, Kishan, M,72,58,78,92,99,80
3652, Anu Paul, F,53,96,83,67,57,60
3653, Anthony Kumar, M,78,78,58,50,71,79
3654, lakshmi gopal, M,95,92,81,98,64,69
3655, Ashok Kumar, M,59,87,76,52,84,68
3656, Gayathri K P, F,57,62,58,67,66,75
3657, Manohar Sharma, M,56,50,71,55,66,81
3658, Sunil Kumar .K., M,68,98,55,52,76,66
3659, Hari Krishna, M,64,92,85,95,58,91
3660, Tushar Gupta, M,93,92,62,53,79,100
3701, Hari Krishna, M,53,71,91,63,94,63
3702, vijayakanth T.S.V, M,86,51,92,60,98,80
3703, Aiswarya Mohan, F,53,85,80,56,86,66
3704, Tushar Gupta, M,84,54,70,85,91,52
3705, S.P.Swaroop, M,90,56,79,63,68,73
3706, D.P. Ravi Kiran, M,51,62,84,70,58,62
3707, Rakesh Kashyap, M,72,74,74,57,84,94
3708, Prabhanjan, M,83,64,56,75,73,67
3709, Neha Jagga, F,91,96,52,72,78,70
3710, M.K Sharma, M,93,50,69,53,52,96
3711, lakshmi gopal, M,100,67,71,50,73,95
3712, lalitha kumari, F,92,86,79,69,81,56
3713, S N Prathap Kumar, M,97,53,68,77,87,100
3714, Neha Mehta, M,81,91,94,75,71,50
3715, Annand Mukund Rao, M,89,63,95,82,85,98
3716, Navneet Dubey, M,88,74,81,75,88,57
3717, Indranil Sarkar, M,91,57,97,74,73,97
3718, Suhasini.M, F,61,91,83,74,58,57
3719, F A Khan, M,71,98,53,76,56,96
3720, Swapna.S.P, F,77,98,50,69,85,63
3721, Subhash.K.U, M,92,97,68,81,95,85
3722, Ashok Kumar, M,97,85,83,56,84,62
3723, Sridhar, M,88,100,95,79,54,54
3724, Ravi Kiran, M,69,65,81,69,86,71
3725, Ashok Singh, M,84,87,72,79,60,75
3726, Priyanka Y, F,72,71,75,51,81,58
3727, S. Devi, F,84,86,56,53,62,62
3728, Kishan, M,64,51,89,62,68,68
3729, Akansha Y, F,71,58,51,62,84,59
3730, Pallavi Singh, F,73,56,59,86,82,98
3731, Kumara Krupa Parvath, M,90,86,90,68,55,86
3732, Neha S. Swaminathan, F,79,72,56,63,80,95
3733, Deeksha Jiwani, F,86,92,73,91,93,67
3734, Sunita rani kumari, F,91,83,75,61,66,57
3735, Sunil Kumar .K., M,94,77,95,100,100,78
3736, Shanaya Gurumurthi S, F,55,61,66,53,80,90
3737, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,53,83,72,75,94,91
3738, Paul George, M,80,87,70,52,64,79
3739, Khasim, M,85,89,96,72,91,78
3740, Prathiban, M,89,83,85,58,71,52
3741, Manohar Sharma, M,73,65,64,86,77,97
3742, Pratap kumar, M,54,80,66,68,57,83
3743, Sachin Sharma, M,100,62,55,51,50,68
3744, Krishna Hari, M,86,71,87,74,71,99
3745, kumar, M,79,71,61,55,74,97
3746, Sam Manny, M,88,82,59,85,64,56
3747, Anuj Malhotra, M,75,75,58,94,66,55
3748, Anthony Kumar, M,60,98,62,67,60,57
3749, Ravichandra S, M,78,57,55,61,55,51
3750, Bernadtette Rostenkowski, F,95,96,90,89,51,71
3751, Ravi kishan, M,79,70,52,91,72,67
3752, Aby Abraham K, M,93,85,60,89,58,56
3753, Bob Joe, M,95,56,87,73,72,74
3754, Ankit Saxena, F,84,74,93,81,69,98
3755, vijay kumar t r, M,61,66,54,69,84,58
3756, Subhashish Bhattacharjee, M,82,55,74,81,50,52
3757, Anand, M,86,91,83,78,89,81
3758, Anirudh Mahato, M,71,95,56,67,95,81
3759, G Chitra Shenai, F,88,52,76,85,63,85
3760, gopalkumari k s, F,69,87,100,93,94,87
3801, Sridhar, M,78,85,89,82,60,65
3802, Tushar Gupta, M,99,88,98,82,58,67
3803, Rakesh Kashyap, M,80,93,78,71,92,95
3804, Bob Joe, M,96,82,82,53,80,66
3805, Gayathri K P, F,56,99,59,75,64,73
3806, Paul George, M,88,56,65,95,82,80
3807, lakshmi gopal, M,77,72,74,83,77,68
3808, Dean Winchester, M,60,68,56,95,70,58
3809, vijay kumar t r, M,55,58,50,72,53,59
3810, Anand, M,50,80,99,91,100,69
3811, Krishna Hari, M,99,78,95,74,86,83
3812, Bernadtette Rostenkowski, F,83,97,68,69,57,98
3813, Prabhanjan, M,93,67,97,55,68,86
3814, S. Devi, F,88,58,58,92,85,50
3815, S.P.Swaroop, M,54,93,87,88,78,75
3816, Akansha Y, F,64,99,65,77,55,79
3817, Sam Manny, M,95,95,99,63,75,96
3818, Neha S. Swaminathan, F,98,84,72,56,89,77
3819, Aiswarya Mohan, F,64,91,63,63,57,87
3820, D.P. Ravi Kiran, M,93,86,96,70,73,94
3821, lalitha kumari, F,74,68,88,59,60,54
3822, G Chitra Shenai, F,94,84,74,59,62,99
3823, vijayakanth T.S.V, M,95,78,57,54,62,65
3824, Ashok Singh, M,63,76,89,81,53,65
3825, A.B.C Sita, F,87,57,85,71,90,63
3826, Ashok Kumar, M,57,91,99,100,79,67
3827, Hari Krishna, M,68,92,98,100,75,89
3828, S N Prathap Kumar, M,51,62,69,91,96,75
3829, Kumara Krupa Parvath, M,99,51,99,55,90,77
3830, Aby Abraham K, M,72,73,64,72,78,98
3831, Priya Ram, F,79,81,57,82,51,54
3832, Sachin Sharma, M,72,88,95,87,58,78
3833, Shanaya Gurumurthi S, F,55,62,50,59,57,51
3834, Kishan, M,65,98,73,96,51,79
3835, Suhasini.M, F,79,100,59,92,78,55
3836, Khasim, M,61,60,81,83,94,93
3837, Navneet Dubey, M,66,87,77,80,93,84
3838, Subhashish Bhattacharjee, M,72,97,50,51,99,66
3839, M.K Sharma, M,83,58,66,74,93,53
3840, gopalkumari k s, F,84,64,96,92,96,71
3841, Anuj Malhotra, M,69,81,91,51,52,76
3842, Annand Mukund Rao, M,57,59,76,91,63,77
3843, F A Khan, M,95,89,52,76,62,79
3844, Ravi Kiran, M,73,75,84,55,73,96
3845, Hari Krishnan, M,94,76,61,51,50,85
3846, Swapna.S.P, F,99,52,98,67,78,84
3847, Sunil Kumar .K., M,61,76,63,53,83,98
3848, Priyanka Y, F,52,76,94,65,57,95
3849, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,50,81,87,85,67,58
3850, Pallavi Singh, F,100,70,53,65,87,94
3851, Indranil Sarkar, M,66,89,62,66,84,92
3852, Manohar Sharma, M,83,50,71,76,79,95
3853, Ankit Saxena, F,89,100,95,81,88,89
3854, kumar, M,68,83,96,66,88,65
3855, Prathiban, M,60,66,99,94,95,83
3856, Ravichandra S, M,66,50,79,76,95,82
3857, Pratap kumar, M,61,72,72,81,97,80
3858, Anu Paul, F,52,98,84,60,86,70
3859, Deeksha Jiwani, F,64,82,70,98,66,62
3860, Anthony Kumar, M,66,93,100,87,79,73
4101, Siva Kumar, M,62,56,78,93,66,81
4102, Neha Jagga, F,59,52,87,51,51,72
4103, Kumara Krupa Parvath, M,54,78,84,93,71,51
4104, Khasim, M,57,98,78,59,51,87
4105, Tushar Gupta, M,59,69,54,88,63,100
4106, Neha Mehta, M,66,54,99,93,81,67
4107, A.B.C Sita, F,97,77,73,67,77,91
4108, Pratap kumar, M,53,50,79,59,97,94
4109, kumar, M,90,54,63,56,60,53
4110, Annand Mukund Rao, M,86,51,94,95,91,86
4111, Subhash.K.U, M,74,77,55,57,65,64
4112, M.K Sharma, M,92,66,83,71,69,87
4113, Priya Ram, F,54,68,55,67,85,69
4114, Shanaya Gurumurthi S, F,62,81,94,83,81,91
4115, lalitha kumari, F,56,80,88,70,60,99
4116, Prabhanjan, M,76,68,97,73,68,72
4117, Kishan, M,58,50,64,97,68,63
4118, G Chitra Shenai, F,88,88,95,60,79,82
4119, Prathiban, M,72,74,73,85,93,69
4120, Bob Joe, M,89,59,61,77,74,74
4121, Dean Winchester, M,60,61,92,99,91,98
4122, Ashok Singh, M,80,59,77,82,75,78
4123, Suhasini.M, F,100,89,92,88,98,89
4124, Ashok Kumar, M,76,55,97,78,75,82
4125, S.P.Swaroop, M,91,62,65,70,80,85
4126, Anirudh Mahato, M,59,84,55,100,54,97
4127, D. P. Ravi Kiran, M,100,100,99,100,99,99
4128, Navneet Dubey, M,90,80,76,86,81,97
4129, Anthony Kumar, M,64,73,72,85,71,96
4130, F A Khan, M,84,79,79,81,100,98
4131, vijay kumar t r, M,54,93,69,92,81,98
4132, Sunil Kumar .K., M,64,58,92,92,68,67
4133, Priyanka Y, F,51,75,70,79,82,81
4134, Manohar Sharma, M,79,64,57,85,60,78
4135, Aby Abraham K, M,68,61,55,62,95,57
4136, Sam Manny, M,50,77,61,61,57,74
4137, Sunita rani kumari, F,97,58,89,56,88,71
4138, Anu Paul, F,91,78,71,90,54,53
4139, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,94,57,53,94,73,68
4140, Neha S. Swaminathan, F,92,58,53,91,72,86
4141, vijayakanth T.S.V, M,70,94,64,99,80,97
4142, Akansha Y, F,99,57,81,64,94,61
4143, Hari Krishna, M,55,83,89,98,95,79
4144, Deeksha Jiwani, F,84,65,68,93,95,91
4145, Anand, M,89,60,72,61,69,64
4146, D.P. Ravi Kiran, M,53,84,68,65,75,83
4147, Pallavi Singh, F,85,91,65,63,71,87
4148, Ravi kishan, M,59,86,68,68,98,54
4149, S. Devi, F,64,77,79,79,96,53
4150, Gayathri K P, F,69,69,91,78,86,75
4151, Rakesh Kashyap, M,65,91,73,70,53,81
4152, Ankit Saxena, F,80,59,55,86,97,86
4153, Krishna Hari, M,63,84,97,52,98,83
4154, Anuj Malhotra, M,94,55,53,50,95,82
4155, lakshmi gopal, M,70,95,86,96,82,61
4156, Sridhar, M,90,84,84,86,67,60
4157, Ravichandra S, M,88,83,57,62,95,53
4158, Bernadtette Rostenkowski, F,89,66,85,59,87,96
4159, Hari Krishnan, M,59,71,63,75,87,64
4160, Sachin Sharma, M,58,80,79,94,64,83
4201, Ashok Singh, M,87,82,90,71,67,60
4202, Navneet Dubey, M,50,60,54,58,71,57
4203, Bob Joe, M,62,85,82,96,100,100
4204, Swapna.S.P, F,56,81,68,59,65,80
4205, lalitha kumari, F,67,51,91,66,93,61
4206, Paul George, M,85,58,71,93,76,97
4207, Aby Abraham K, M,85,61,53,88,62,64
4208, Anuj Malhotra, M,53,95,74,56,55,52
4209, Aiswarya Mohan, F,88,78,56,86,68,50
4210, Ankit Saxena, F,64,73,88,63,94,99
4211, Indranil Sarkar, M,60,60,59,88,74,88
4212, Pallavi Singh, F,85,52,92,86,80,67
4213, Ravi Kiran, M,78,67,92,59,93,51
4214, Subhashish Bhattacharjee, M,66,84,62,78,68,68
4215, Gayathri K P, F,83,70,51,87,55,68
4216, gopalkumari k s, F,100,95,68,76,94,64
4217, Ravichandra S, M,70,83,98,57,78,51
4218, Shanaya Gurumurthi S, F,54,56,66,86,87,76
4219, Anu Paul, F,67,84,82,95,59,72
4220, Anand, M,72,55,70,55,70,72
4221, vijayakanth T.S.V, M,76,87,78,65,100,56
4222, lakshmi gopal, M,88,88,80,72,89,90
4223, vijay kumar t r, M,82,56,51,67,89,96
4224, Deeksha Jiwani, F,89,89,93,84,69,94
4225, Hari Krishna, M,86,77,83,85,98,99
4226, Manohar Sharma, M,51,84,76,86,69,95
4227, D.P. Ravi Kiran, M,84,88,100,66,81,59
4228, Tushar Gupta, M,80,69,56,57,69,95
4229, A.B.C Sita, F,80,65,93,72,89,57
4230, Priya Ram, F,64,91,57,50,64,82
4231, Annand Mukund Rao, M,69,65,64,63,60,64
4232, Neha Jagga, F,95,66,67,66,78,58
4233, Priyanka Y, F,50,96,87,72,86,68
4234, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,96,70,70,76,89,62
4235, S. Devi, F,79,91,69,50,60,84
4236, Kumara Krupa Parvath, M,56,73,89,60,79,63
4237, Pratap kumar, M,50,66,63,95,73,61
4238, Sunil Kumar .K., M,99,83,65,92,71,79
4239, Anthony Kumar, M,94,83,96,82,63,56
4240, Neha S. Swaminathan, F,57,82,89,82,93,94
4241, Ashok Kumar, M,84,81,72,97,60,79
4242, Khasim, M,96,72,75,51,73,59
4243, Dean Winchester, M,71,90,53,76,76,88
4244, Akansha Y, F,71,75,78,96,100,85
4245, Sunita rani kumari, F,86,54,60,75,59,59
4246, Anirudh Mahato, M,97,89,59,74,69,81
4247, S N Prathap Kumar, M,86,73,73,93,77,89
4248, Rakesh Kashyap, M,73,72,76,60,56,95
4249, S.P.Swaroop, M,67,69,54,93,68,89
4250, G Chitra Shenai, F,86,76,82,62,57,50
4251, Siva Kumar, M,64,53,62,96,98,85
4252, kumar, M,90,66,84,51,94,58
4253, Prabhanjan, M,64,72,68,71,84,58
4254, Neha Mehta, M,69,92,87,89,70,72
4255, Krishna Hari, M,84,67,81,68,66,99
4256, Prathiban, M,62,79,57,54,99,93
4257, Kishan, M,52,93,60,92,85,90
4258, Bernadtette Rostenkowski, F,89,58,63,84,76,82
4259, Sachin Sharma, M,84,56,69,92,74,63
4260, Suhasini.M, F,64,74,74,92,57,70
4301, Subhash.K.U, M,62,76,97,86,83,58
4302, Khasim, M,70,70,51,73,94,67
4303, gopalkumari k s, F,97,53,94,69,89,56
4304, Aby Abraham K, M,100,77,74,76,72,66
4305, Neha Jagga, F,72,64,73,70,94,67
4306, Sachin Sharma, M,76,53,51,72,53,84
4307, Ravi Kiran, M,83,63,71,86,54,84
4308, Akansha Y, F,67,69,79,50,89,63
4309, Ravichandra S, M,89,94,65,80,74,97
4310, G Chitra Shenai, F,70,77,63,69,79,97
4311, vijayakanth T.S.V, M,94,86,52,50,92,85
4312, Prathiban, M,97,95,71,88,59,99
4313, D.P. Ravi Kiran, M,73,81,88,80,85,59
4314, S.P.Swaroop, M,57,92,79,58,51,59
4315, Anthony Kumar, M,91,53,91,68,94,78
4316, F A Khan, M,84,85,85,67,57,99
4317, Ankit Saxena, F,64,57,66,91,68,52
4318, Prabhanjan, M,53,60,79,100,98,77
4319, Hari Krishnan, M,85,94,81,74,84,77
4320, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,86,77,52,93,66,91
4321, Aiswarya Mohan, F,63,86,52,58,91,86
4322, lakshmi gopal, M,52,87,92,75,61,73
4323, Navneet Dubey, M,53,85,65,76,97,98
4324, A.B.C Sita, F,54,64,96,86,67,53
4325, Gayathri K P, F,68,75,91,67,66,99
4326, Pratap kumar, M,73,70,75,82,88,75
4327, Subhashish Bhattacharjee, M,99,97,74,78,95,86
4328, Priya Ram, F,84,99,92,64,69,82
4329, Anu Paul, F,89,57,72,76,59,97
4330, Rakesh Kashyap, M,78,55,96,100,66,93
4331, Neha S. Swaminathan, F,81,82,53,75,61,63
4332, Paul George, M,80,51,79,87,56,61
4333, Deeksha Jiwani, F,66,52,56,77,89,65
4334, Shanaya Gurumurthi S, F,86,75,82,81,53,60
4335, Bernadtette Rostenkowski, F,83,83,58,81,68,53
4336, Anirudh Mahato, M,93,61,76,66,84,93
4337, M.K Sharma, M,83,93,72,92,61,87
4338, Bob Joe, M,60,65,96,87,98,60
4339, Annand Mukund Rao, M,60,56,50,82,84,62
4340, kumar, M,53,78,76,51,58,94
4341, S. Devi, F,88,87,73,94,85,58
4342, Kumara Krupa Parvath, M,80,74,88,61,61,83
4343, Sam Manny, M,92,73,93,64,78,63
4344, Indranil Sarkar, M,72,70,52,57,53,83
4345, Sridhar, M,55,82,62,51,92,75
4346, Tushar Gupta, M,87,100,82,79,77,83
4347, Krishna Hari, M,66,84,89,72,81,86
4348, Swapna.S.P, F,64,65,74,98,67,94
4349, vijay kumar t r, M,67,64,75,67,65,78
4350, Pallavi Singh, F,69,56,78,83,85,65
4351, Kishan, M,82,94,57,73,81,51
4352, Priyanka Y, F,97,73,50,87,67,96
4353, Suhasini.M, F,67,61,96,79,50,98
4354, Ravi kishan, M,51,69,86,63,89,84
4355, Manohar Sharma, M,88,75,88,67,83,54
4356, Sunil Kumar .K., M,79,59,59,50,100,72
4357, lalitha kumari, F,60,86,57,82,100,93
4358, S N Prathap Kumar, M,94,85,57,74,74,99
4359, Ashok Singh, M,79,61,74,67,55,81
4360, Anuj Malhotra, M,77,86,62,88,83,73
4401, Bernadtette Rostenkowski, F,52,87,76,79,95,64
4402, Aby Abraham K, M,77,81,89,54,93,54
4403, Sam Manny, M,58,70,78,95,79,100
4404, Anuj Malhotra, M,63,78,85,86,87,74
4405, Subhash.K.U, M,86,97,79,96,98,54
4406, Tushar Gupta, M,98,58,80,98,74,56
4407, Anthony Kumar, M,83,77,98,91,56,63
4408, Ravichandra S, M,58,64,51,70,85,62
4409, Kumara Krupa Parvath, M,86,77,84,72,76,81
4410, lalitha kumari, F,93,81,56,52,85,79
4411, S N Prathap Kumar, M,89,53,73,71,80,56
4412, Akansha Y, F,76,86,98,59,78,71
4413, Bob Joe, M,78,82,63,70,73,60
4414, Khasim, M,100,76,81,80,72,92
4415, Annand Mukund Rao, M,62,59,97,82,87,75
4416, Priyanka Y, F,81,77,92,63,90,64
4417, Ashok Kumar, M,59,78,64,69,67,93
4418, vijayakanth T.S.V, M,84,94,61,50,62,62
4419, D.P. Ravi Kiran, M,100,69,93,56,60,54
4420, Neha Jagga, F,60,80,90,77,72,64
4421, kumar, M,79,70,67,54,92,52
4422, Anu Paul, F,61,88,69,98,92,99
4423, Hari Krishna, M,88,82,95,62,72,97
4424, Ankit Saxena, F,80,61,78,52,81,69
4425, Paul George, M,98,50,56,92,52,70
4426, Prabhanjan, M,59,82,70,56,84,72
4427, Sachin Sharma, M,99,64,52,58,94,82
4428, Pratap kumar, M,64,80,61,57,58,98
4429, vijay kumar t r, M,81,63,75,50,61,87
4430, Sridhar, M,84,68,72,83,60,85
4431, gopalkumari k s, F,70,62,56,95,82,76
4432, Ravi Kiran, M,75,91,54,52,83,75
4433, Ashok Singh, M,57,81,84,61,73,77
4434, Neha S. Swaminathan, F,70,94,65,84,52,71
4435, Ravi kishan, M,68,67,70,90,55,93
4436, Subhashish Bhattacharjee, M,74,64,73,88,85,60
4437, Navneet Dubey, M,64,99,86,57,96,59
4438, Sunil Kumar .K., M,64,81,86,63,98,63
4439, Hari Krishnan, M,70,53,99,54,89,62
4440, Swapna.S.P, F,61,66,62,97,88,90
4441, Rakesh Kashyap, M,54,90,68,55,83,94
4442, Priya Ram, F,84,74,99,89,97,83
4443, Sunita rani kumari, F,97,75,97,93,83,93
4444, Anirudh Mahato, M,71,69,55,70,84,93
4445, Prathiban, M,57,78,65,58,72,97
4446, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,97,72,97,76,64,69
4447, Manohar Sharma, M,52,92,55,74,70,82
4448, M.K Sharma, M,90,79,61,76,61,70
4449, G Chitra Shenai, F,85,84,96,70,80,78
4450, Anand, M,100,84,72,99,80,85
4451, lakshmi gopal, M,50,54,71,81,80,82
4452, Kishan, M,83,82,86,63,60,84
4453, Shanaya Gurumurthi S, F,72,78,83,63,81,94
4454, Indranil Sarkar, M,59,92,54,84,63,74
4455, Aiswarya Mohan, F,52,93,70,77,71,72
